                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9807,                0.91829,                      1,                0.87352,             0.00023704,             0.00023704,             0.00023704
                      2,                0.49411,                0.97069,                      1,                0.80345,             0.00046563,             0.00046563,             0.00046563
                      3,                0.38922,                0.92984,                      1,                0.82108,              0.0006848,              0.0006848,              0.0006848
                      4,                0.34703,                0.97513,                      1,                0.78529,             0.00067159,             0.00067159,             0.00067159
                      5,                0.32017,                0.97602,                      1,                0.78061,             0.00065745,             0.00065745,             0.00065745
                      6,                0.29277,                0.97425,                      1,                0.77726,             0.00064331,             0.00064331,             0.00064331
                      7,                0.26909,                0.98224,                      1,                0.77548,             0.00062918,             0.00062918,             0.00062918
                      8,                0.25637,                 0.9849,                      1,                0.77148,             0.00061504,             0.00061504,             0.00061504
                      9,                0.27872,                0.97247,                      1,                0.79454,              0.0006009,              0.0006009,              0.0006009
                     10,                 0.2444,                0.98046,                      1,                0.78583,             0.00058677,             0.00058677,             0.00058677
                     11,                0.21369,                 0.9778,                      1,                0.78536,             0.00057263,             0.00057263,             0.00057263
                     12,                0.21925,                0.97602,                      1,                 0.7756,             0.00055849,             0.00055849,             0.00055849
                     13,                0.21482,                0.92007,                      1,                0.80199,             0.00054435,             0.00054435,             0.00054435
                     14,                0.20609,                0.94227,                      1,                0.80512,             0.00053022,             0.00053022,             0.00053022
                     15,                0.19876,                0.98401,                      1,                0.77925,             0.00051608,             0.00051608,             0.00051608
                     16,                 0.1903,                0.94405,                      1,                0.80301,             0.00050194,             0.00050194,             0.00050194
                     17,                 0.1848,                0.98135,                      1,                0.77169,              0.0004878,              0.0004878,              0.0004878
                     18,                0.18001,                0.98046,                      1,                0.77024,             0.00047367,             0.00047367,             0.00047367
                     19,                0.16176,                0.97957,                      1,                0.76773,             0.00045953,             0.00045953,             0.00045953
                     20,                0.16599,                0.98401,                      1,                 0.7769,             0.00044539,             0.00044539,             0.00044539
                     21,                0.16646,                0.98757,                      1,                0.78481,             0.00043126,             0.00043126,             0.00043126
                     22,                0.15367,                0.98579,                      1,                0.76304,             0.00041712,             0.00041712,             0.00041712
                     23,                0.13916,                0.99023,                      1,                0.77594,             0.00040298,             0.00040298,             0.00040298
                     24,                0.15276,                0.99023,                      1,                0.77334,             0.00038884,             0.00038884,             0.00038884
                     25,                0.13787,                0.99201,                      1,                0.76351,             0.00037471,             0.00037471,             0.00037471
                     26,                0.13961,                 0.9778,                      1,                0.78625,             0.00036057,             0.00036057,             0.00036057
                     27,                0.11678,                0.98845,                      1,                0.76793,             0.00034643,             0.00034643,             0.00034643
                     28,                0.13687,                0.98313,                      1,                0.76959,              0.0003323,              0.0003323,              0.0003323
                     29,                0.14711,                0.98668,                      1,                0.77292,             0.00031816,             0.00031816,             0.00031816
                     30,                0.12489,                0.98934,                      1,                0.75957,             0.00030402,             0.00030402,             0.00030402
                     31,                0.11133,                0.98579,                      1,                 0.7629,             0.00028988,             0.00028988,             0.00028988
                     32,                0.12949,                0.98934,                      1,                0.77825,             0.00027575,             0.00027575,             0.00027575
                     33,                0.13653,                0.98668,                      1,                0.76091,             0.00026161,             0.00026161,             0.00026161
                     34,                 0.1221,                0.98845,                      1,                0.75961,             0.00024747,             0.00024747,             0.00024747
                     35,                0.12284,                0.98757,                      1,                0.76581,             0.00023334,             0.00023334,             0.00023334
                     36,                0.10875,                0.99201,                      1,                0.76138,              0.0002192,              0.0002192,              0.0002192
                     37,                0.11921,                0.99023,                      1,                0.76041,             0.00020506,             0.00020506,             0.00020506
                     38,                0.11118,                0.98934,                      1,                0.76148,             0.00019092,             0.00019092,             0.00019092
                     39,                0.10538,                0.98845,                      1,                0.76899,             0.00017679,             0.00017679,             0.00017679
                     40,                0.12264,                0.99112,                      1,                0.77178,             0.00016265,             0.00016265,             0.00016265
                     41,                0.09897,                0.98845,                      1,                0.76427,             0.00014851,             0.00014851,             0.00014851
                     42,                0.09109,                0.99201,                      1,                0.76076,             0.00013437,             0.00013437,             0.00013437
                     43,                0.10203,                0.98934,                      1,                0.76415,             0.00012024,             0.00012024,             0.00012024
                     44,                0.11634,                0.99201,                      1,                0.75998,              0.0001061,              0.0001061,              0.0001061
                     45,                 0.0991,                0.99023,                      1,                 0.7616,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                 0.1032,                0.99112,                      1,                0.76348,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.09885,                0.99112,                      1,                0.76463,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.08791,                0.99112,                      1,                0.77227,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.09723,                0.99023,                      1,                0.76411,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.09114,                0.99112,                      1,                0.76001,             2.1277e-05,             2.1277e-05,             2.1277e-05
